#H 	 m 

-4.25593	-0.99956
-4.25493	-0.99956
-4.25393	-0.99956
-4.25293	-0.99956
-4.25193	-0.99956
-4.25093	-0.99956
-4.24992	-0.99956
-4.24892	-0.99956
-4.24792	-0.99956
-4.24692	-0.99956
-4.24592	-0.99956
-4.24492	-0.99956
-4.24392	-0.99956
-4.24292	-0.99956
-4.24192	-0.99956
-4.24092	-0.99956
-4.23992	-0.99956
-4.23892	-0.99956
-4.23792	-0.99956
-4.23692	-0.99956
-4.23592	-0.99956
-4.23492	-0.99956
-4.23392	-0.99956
-4.23292	-0.99956
-4.23192	-0.99956
-4.23092	-0.99956
-4.22992	-0.99956
-4.22892	-0.99956
-4.22792	-0.99956
-4.22692	-0.99956
-4.22592	-0.99956
-4.22492	-0.99956
-4.22392	-0.99956
-4.22292	-0.99956
-4.22192	-0.99956
-4.22092	-0.99956
-4.21992	-0.99956
-4.21892	-0.99956
-4.21792	-0.99956
-4.21692	-0.99954
-4.21592	-0.99954
-4.21492	-0.99954
-4.21392	-0.99954
-4.21292	-0.99954
-4.21192	-0.99954
-4.21092	-0.99954
-4.20992	-0.99954
-4.20892	-0.99954
-4.20792	-0.99954
-4.20692	-0.99954
-4.20592	-0.99954
-4.20492	-0.99954
-4.20392	-0.99954
-4.20292	-0.99954
-4.20192	-0.99954
-4.20092	-0.99954
-4.19992	-0.99954
-4.19892	-0.99954
-4.19792	-0.99954
-4.19692	-0.99954
-4.19592	-0.99954
-4.19492	-0.99954
-4.19392	-0.99954
-4.19292	-0.99954
-4.19192	-0.99954
-4.19092	-0.99954
-4.18992	-0.99954
-4.18892	-0.99954
-4.18792	-0.99954
-4.18692	-0.99954
-4.18592	-0.99954
-4.18492	-0.99954
-4.18392	-0.99954
-4.18292	-0.9995
-4.18192	-0.9995
-4.18092	-0.9995
-4.17992	-0.9995
-4.17892	-0.9995
-4.17792	-0.9995
-4.17692	-0.9995
-4.17592	-0.9995
-4.17492	-0.9995
-4.17392	-0.9995
-4.17292	-0.9995
-4.17192	-0.9995
-4.17092	-0.9995
-4.16992	-0.9995
-4.16892	-0.9995
-4.16792	-0.9995
-4.16692	-0.9995
-4.16592	-0.9995
-4.16492	-0.9995
-4.16392	-0.9995
-4.16292	-0.9995
-4.16192	-0.9995
-4.16092	-0.9995
-4.15992	-0.9995
-4.15892	-0.9995
-4.15792	-0.9995
-4.15692	-0.9995
-4.15592	-0.9995
-4.15492	-0.9995
-4.15392	-0.9995
-4.15292	-0.9995
-4.15192	-0.9995
-4.15092	-0.9995
-4.14991	-0.9995
-4.14891	-0.9995
-4.14791	-0.9995
-4.14691	-0.9995
-4.14591	-0.9995
-4.14491	-0.9995
-4.14391	-0.9995
-4.14291	-0.9995
-4.14191	-0.9995
-4.14091	-0.9995
-4.13991	-0.9995
-4.13891	-0.9995
-4.13791	-0.9995
-4.13691	-0.9995
-4.13591	-0.9995
-4.13491	-0.9995
-4.13391	-0.9995
-4.13291	-0.9995
-4.13191	-0.9995
-4.13091	-0.9995
-4.12991	-0.9995
-4.12891	-0.9995
-4.12791	-0.9995
-4.12691	-0.9995
-4.12591	-0.9995
-4.12491	-0.9995
-4.12391	-0.9995
-4.12291	-0.9995
-4.12191	-0.9995
-4.12091	-0.9995
-4.11991	-0.9995
-4.11891	-0.9995
-4.11791	-0.99948
-4.11691	-0.99948
-4.11591	-0.99948
-4.11491	-0.99948
-4.11391	-0.99948
-4.11291	-0.99948
-4.11191	-0.99948
-4.11091	-0.99948
-4.10991	-0.99948
-4.10891	-0.99948
-4.10791	-0.99948
-4.10691	-0.99948
-4.10591	-0.99948
-4.10491	-0.99948
-4.10391	-0.99948
-4.10291	-0.99948
-4.10191	-0.99948
-4.10091	-0.99948
-4.09991	-0.99948
-4.09891	-0.99948
-4.09791	-0.99948
-4.09691	-0.99948
-4.09591	-0.99948
-4.09491	-0.99948
-4.09391	-0.99948
-4.09291	-0.99948
-4.09191	-0.99948
-4.09091	-0.99948
-4.08991	-0.99948
-4.08891	-0.99948
-4.08791	-0.99948
-4.08691	-0.99948
-4.08591	-0.99948
-4.08491	-0.99948
-4.08391	-0.99948
-4.08291	-0.99948
-4.08191	-0.99948
-4.08091	-0.99948
-4.07991	-0.99948
-4.07891	-0.99948
-4.07791	-0.99948
-4.07691	-0.99948
-4.07591	-0.99948
-4.07491	-0.99948
-4.07391	-0.99946
-4.07291	-0.99946
-4.07191	-0.99946
-4.07091	-0.99946
-4.06991	-0.99946
-4.06891	-0.99946
-4.06791	-0.99946
-4.06691	-0.99944
-4.06591	-0.99944
-4.06491	-0.99944
-4.06391	-0.99944
-4.06291	-0.99944
-4.06191	-0.99944
-4.06091	-0.99944
-4.05991	-0.99944
-4.05891	-0.99944
-4.05791	-0.99944
-4.05691	-0.99944
-4.05591	-0.99944
-4.05491	-0.99944
-4.05391	-0.99944
-4.05291	-0.99944
-4.05191	-0.99944
-4.05091	-0.99944
-4.0499	-0.99944
-4.0489	-0.99944
-4.0479	-0.99944
-4.0469	-0.99944
-4.0459	-0.99944
-4.0449	-0.99944
-4.0439	-0.99944
-4.0429	-0.99942
-4.0419	-0.99942
-4.0409	-0.99942
-4.0399	-0.99942
-4.0389	-0.99942
-4.0379	-0.99942
-4.0369	-0.99942
-4.0359	-0.99942
-4.0349	-0.99942
-4.0339	-0.99942
-4.0329	-0.99942
-4.0319	-0.9994
-4.0309	-0.9994
-4.0299	-0.99938
-4.0289	-0.99938
-4.0279	-0.99938
-4.0269	-0.99938
-4.0259	-0.99938
-4.0249	-0.99938
-4.0239	-0.99938
-4.0229	-0.99938
-4.0219	-0.99938
-4.0209	-0.99938
-4.0199	-0.99938
-4.0189	-0.99938
-4.0179	-0.99938
-4.0169	-0.99938
-4.0159	-0.99938
-4.0149	-0.99938
-4.0139	-0.99938
-4.0129	-0.99938
-4.0119	-0.99938
-4.0109	-0.99938
-4.0099	-0.99938
-4.0089	-0.99938
-4.0079	-0.99938
-4.0069	-0.99938
-4.0059	-0.99938
-4.0049	-0.99938
-4.0039	-0.99938
-4.0029	-0.99938
-4.0019	-0.99936
-4.0009	-0.99936
-3.9999	-0.99936
-3.9989	-0.99936
-3.9979	-0.99936
-3.9969	-0.99936
-3.9959	-0.99936
-3.9949	-0.99936
-3.9939	-0.99936
-3.9929	-0.99936
-3.9919	-0.99936
-3.9909	-0.99936
-3.9899	-0.99936
-3.9889	-0.99936
-3.9879	-0.99936
-3.9869	-0.99936
-3.9859	-0.99936
-3.9849	-0.99936
-3.9839	-0.99936
-3.9829	-0.99936
-3.9819	-0.99936
-3.9809	-0.99936
-3.9799	-0.99936
-3.9789	-0.99936
-3.9779	-0.99936
-3.9769	-0.99936
-3.9759	-0.99936
-3.9749	-0.99936
-3.9739	-0.99936
-3.9729	-0.99936
-3.9719	-0.99936
-3.9709	-0.99936
-3.9699	-0.99936
-3.9689	-0.99936
-3.9679	-0.99936
-3.9669	-0.99936
-3.9659	-0.99936
-3.9649	-0.99936
-3.9639	-0.99936
-3.9629	-0.99934
-3.9619	-0.99934
-3.9609	-0.99934
-3.9599	-0.99934
-3.9589	-0.99934
-3.9579	-0.99934
-3.9569	-0.99934
-3.9559	-0.99934
-3.9549	-0.99934
-3.9539	-0.99934
-3.9529	-0.99934
-3.9519	-0.99934
-3.9509	-0.99934
-3.94989	-0.99934
-3.94889	-0.99934
-3.94789	-0.99934
-3.94689	-0.99934
-3.94589	-0.99934
-3.94489	-0.99934
-3.94389	-0.99934
-3.94289	-0.99934
-3.94189	-0.99934
-3.94089	-0.99934
-3.93989	-0.99934
-3.93889	-0.99934
-3.93789	-0.99934
-3.93689	-0.99934
-3.93589	-0.99934
-3.93489	-0.99934
-3.93389	-0.99934
-3.93289	-0.99934
-3.93189	-0.99934
-3.93089	-0.99934
-3.92989	-0.99934
-3.92889	-0.99934
-3.92789	-0.99934
-3.92689	-0.99934
-3.92589	-0.99932
-3.92489	-0.99932
-3.92389	-0.99932
-3.92289	-0.99932
-3.92189	-0.99932
-3.92089	-0.99932
-3.91989	-0.99932
-3.91889	-0.99932
-3.91789	-0.99932
-3.91689	-0.99932
-3.91589	-0.99932
-3.91489	-0.99932
-3.91389	-0.99932
-3.91289	-0.99932
-3.91189	-0.99932
-3.91089	-0.99932
-3.90989	-0.99932
-3.90889	-0.99932
-3.90789	-0.99932
-3.90689	-0.99932
-3.90589	-0.99932
-3.90489	-0.9993
-3.90389	-0.9993
-3.90289	-0.9993
-3.90189	-0.9993
-3.90089	-0.9993
-3.89989	-0.9993
-3.89889	-0.9993
-3.89789	-0.9993
-3.89689	-0.9993
-3.89589	-0.9993
-3.89489	-0.99928
-3.89389	-0.99928
-3.89289	-0.99928
-3.89189	-0.99928
-3.89089	-0.99928
-3.88989	-0.99928
-3.88889	-0.99926
-3.88789	-0.99926
-3.88689	-0.99926
-3.88589	-0.99926
-3.88489	-0.99926
-3.88389	-0.99926
-3.88289	-0.99924
-3.88189	-0.99924
-3.88089	-0.99924
-3.87989	-0.99924
-3.87889	-0.99924
-3.87789	-0.99922
-3.87689	-0.99922
-3.87589	-0.99922
-3.87489	-0.99922
-3.87389	-0.99922
-3.87289	-0.99922
-3.87189	-0.99922
-3.87089	-0.99922
-3.86989	-0.99922
-3.86889	-0.99922
-3.86789	-0.99922
-3.86689	-0.99922
-3.86589	-0.99922
-3.86489	-0.99922
-3.86389	-0.99922
-3.86289	-0.99922
-3.86189	-0.99922
-3.86089	-0.99922
-3.85989	-0.99922
-3.85889	-0.99922
-3.85789	-0.99922
-3.85689	-0.99922
-3.85589	-0.9992
-3.85489	-0.9992
-3.85389	-0.9992
-3.85289	-0.9992
-3.85189	-0.9992
-3.85089	-0.9992
-3.84988	-0.9992
-3.84888	-0.9992
-3.84788	-0.9992
-3.84688	-0.9992
-3.84588	-0.9992
-3.84488	-0.9992
-3.84388	-0.9992
-3.84288	-0.9992
-3.84188	-0.9992
-3.84088	-0.99918
-3.83988	-0.99918
-3.83888	-0.99918
-3.83788	-0.99918
-3.83688	-0.99918
-3.83588	-0.99918
-3.83488	-0.99916
-3.83388	-0.99916
-3.83288	-0.99914
