t vsx vsy Ekin Epot T 
2.81 -2.775557562e-17 -3.747002708e-16 15 -11.39139336 1
2.82 -1.387778781e-17 -3.955169525e-16 15 -11.30727029 1
2.83 -1.387778781e-17 -3.400058013e-16 15 -11.22851947 1
2.84 -6.938893904e-18 -3.538835891e-16 15 -11.10216241 1
2.85 -6.938893904e-18 -3.538835891e-16 15 -10.9073624 1
2.86 0 -3.60822483e-16 15 -10.69213645 1
2.87 6.938893904e-18 -3.677613769e-16 15 -10.57106521 1
2.88 -3.469446952e-17 -3.261280135e-16 15 -10.64402516 1
2.89 -4.163336342e-17 -3.816391647e-16 15 -10.90140027 1
2.9 -4.163336342e-17 -3.400058013e-16 15 -11.2374646 1
2.91 -2.081668171e-17 -4.163336342e-16 15 -11.52545548 1
2.92 -2.775557562e-17 -3.60822483e-16 15 -11.70227312 1
2.93 -5.551115123e-17 -3.955169525e-16 15 -11.76608442 1
2.94 -4.163336342e-17 -4.024558464e-16 15 -11.75783537 1
2.95 -4.857225733e-17 -3.885780586e-16 15 -11.72534463 1
2.96 -9.020562075e-17 -3.816391647e-16 15 -11.70414692 1
2.97 -1.110223025e-16 -3.955169525e-16 15 -11.70308417 1
2.98 -9.714451465e-17 -3.747002708e-16 15 -11.70483513 1
2.99 -1.179611964e-16 -3.816391647e-16 15 -11.67767971 1
3 -8.326672685e-17 -3.955169525e-16 15 -11.59569483 1
3.01 -1.249000903e-16 -3.747002708e-16 15 -11.44527772 1
3.02 -9.714451465e-17 -3.677613769e-16 15 -11.23490954 1
3.03 -1.179611964e-16 -4.371503159e-16 15 -10.99478041 1
3.04 -1.249000903e-16 -3.955169525e-16 15 -10.76625321 1
3.05 -1.249000903e-16 -4.024558464e-16 15 -10.59376941 1
3.06 -1.249000903e-16 -4.024558464e-16 15 -10.50985608 1
3.07 -9.020562075e-17 -3.816391647e-16 15 -10.51927239 1
3.08 -1.387778781e-16 -3.816391647e-16 15 -10.60566917 1
3.09 -1.110223025e-16 -3.677613769e-16 15 -10.7312094 1
3.1 -1.804112415e-16 -2.91433544e-16 15 -10.85080299 1
3.11 -1.665334537e-16 -3.053113318e-16 15 -10.92155552 1
3.12 -1.42247325e-16 -3.677613769e-16 15 -10.91197496 1
3.13 -9.020562075e-17 -4.024558464e-16 15 -10.80462711 1
3.14 -1.214306433e-16 -3.816391647e-16 15 -10.61079057 1
3.15 -1.283695372e-16 -4.024558464e-16 15 -10.37196926 1
3.16 -1.179611964e-16 -3.885780586e-16 15 -10.16113572 1
3.17 -1.110223025e-16 -4.024558464e-16 15 -10.07023772 1
3.18 -1.006139616e-16 -3.677613769e-16 15 -10.14625324 1
3.19 -1.110223025e-16 -3.816391647e-16 15 -10.37290841 1
3.2 -1.249000903e-16 -3.677613769e-16 15 -10.68471265 1
3.21 -5.551115123e-17 -3.469446952e-16 15 -11.00815029 1
3.22 -5.898059818e-17 -3.60822483e-16 15 -11.29737675 1
3.23 -1.179611964e-16 -3.261280135e-16 15 -11.53635781 1
3.24 -1.214306433e-16 -3.261280135e-16 15 -11.72628952 1
3.25 -1.630640067e-16 -3.538835891e-16 15 -11.87730533 1
3.26 -1.526556659e-16 -3.053113318e-16 15 -11.99477628 1
3.27 -1.179611964e-16 -3.191891196e-16 15 -12.07902396 1
3.28 -1.318389842e-16 -3.330669074e-16 15 -12.1222255 1
3.29 -1.249000903e-16 -3.60822483e-16 15 -12.10770127 1
3.3 -1.491862189e-16 -3.60822483e-16 15 -12.01142226 1
