# n      x1       x2       g1      g2      eps

262  1.49201  2.29508  -0.616884  -0.380095  1.9193
263  1.49196  2.29504  -0.616654  -0.379952  1.91915
264  1.4919  2.295  -0.616423  -0.379808  1.919
265  1.49184  2.29497  -0.616191  -0.379663  1.91885
266  1.49178  2.29493  -0.615959  -0.379519  1.9187
267  1.49172  2.2949  -0.615725  -0.379373  1.91854
268  1.49166  2.29486  -0.615491  -0.379228  1.91839
269  1.4916  2.29482  -0.615256  -0.379081  1.91824
270  1.49154  2.29479  -0.61502  -0.378935  1.91808
271  1.49148  2.29475  -0.614784  -0.378787  1.91793
272  1.49142  2.29471  -0.614547  -0.37864  1.91777
273  1.49136  2.29467  -0.614309  -0.378492  1.91762
274  1.4913  2.29464  -0.61407  -0.378343  1.91746
275  1.49124  2.2946  -0.61383  -0.378194  1.9173
276  1.49118  2.29456  -0.61359  -0.378044  1.91715
277  1.49112  2.29452  -0.613349  -0.377894  1.91699
278  1.49106  2.29449  -0.613107  -0.377744  1.91683
279  1.49099  2.29445  -0.612864  -0.377593  1.91667
280  1.49093  2.29441  -0.612621  -0.377441  1.91651
281  1.49087  2.29437  -0.612377  -0.377289  1.91636
282  1.49081  2.29433  -0.612132  -0.377137  1.9162
283  1.49075  2.2943  -0.611886  -0.376984  1.91604
284  1.49068  2.29426  -0.61164  -0.37683  1.91587
285  1.49062  2.29422  -0.611393  -0.376677  1.91571
286  1.49056  2.29418  -0.611145  -0.376522  1.91555
287  1.4905  2.29414  -0.610896  -0.376368  1.91539
288  1.49043  2.2941  -0.610647  -0.376212  1.91523
289  1.49037  2.29406  -0.610396  -0.376057  1.91507
290  1.49031  2.29403  -0.610145  -0.3759  1.9149
291  1.49024  2.29399  -0.609894  -0.375744  1.91474
292  1.49018  2.29395  -0.609641  -0.375587  1.91457
293  1.49012  2.29391  -0.609388  -0.375429  1.91441
294  1.49005  2.29387  -0.609134  -0.375271  1.91424
295  1.48999  2.29383  -0.60888  -0.375113  1.91408
296  1.48992  2.29379  -0.608624  -0.374954  1.91391
297  1.48986  2.29375  -0.608368  -0.374794  1.91375
298  1.48979  2.29371  -0.608111  -0.374635  1.91358
299  1.48973  2.29367  -0.607854  -0.374474  1.91341
300  1.48966  2.29363  -0.607595  -0.374314  1.91325
301  1.4896  2.29359  -0.607336  -0.374152  1.91308
302  1.48953  2.29355  -0.607076  -0.373991  1.91291
303  1.48947  2.29351  -0.606816  -0.373829  1.91274
304  1.4894  2.29347  -0.606555  -0.373666  1.91257
305  1.48934  2.29343  -0.606293  -0.373503  1.9124
306  1.48927  2.29339  -0.60603  -0.37334  1.91223
307  1.4892  2.29334  -0.605766  -0.373176  1.91206
308  1.48914  2.2933  -0.605502  -0.373011  1.91189
309  1.48907  2.29326  -0.605237  -0.372846  1.91172
310  1.489  2.29322  -0.604972  -0.372681  1.91155
311  1.48894  2.29318  -0.604705  -0.372515  1.91137
312  1.48887  2.29314  -0.604438  -0.372349  1.9112
313  1.4888  2.2931  -0.60417  -0.372183  1.91103
314  1.48873  2.29306  -0.603902  -0.372016  1.91086
315  1.48867  2.29301  -0.603633  -0.371848  1.91068
316  1.4886  2.29297  -0.603363  -0.37168  1.91051
317  1.48853  2.29293  -0.603092  -0.371512  1.91033
318  1.48846  2.29289  -0.602821  -0.371343  1.91016
319  1.48839  2.29285  -0.602549  -0.371174  1.90998
320  1.48833  2.2928  -0.602276  -0.371004  1.90981
321  1.48826  2.29276  -0.602002  -0.370834  1.90963
322  1.48819  2.29272  -0.601728  -0.370664  1.90945
323  1.48812  2.29268  -0.601453  -0.370493  1.90928
324  1.48805  2.29263  -0.601178  -0.370321  1.9091
325  1.48798  2.29259  -0.600901  -0.370149  1.90892
326  1.48791  2.29255  -0.600624  -0.369977  1.90874
327  1.48784  2.29251  -0.600347  -0.369804  1.90856
328  1.48777  2.29246  -0.600068  -0.369631  1.90838
329  1.4877  2.29242  -0.599789  -0.369457  1.9082
330  1.48763  2.29238  -0.599509  -0.369283  1.90802
331  1.48756  2.29233  -0.599229  -0.369109  1.90784
332  1.48749  2.29229  -0.598948  -0.368934  1.90766
333  1.48742  2.29225  -0.598666  -0.368759  1.90748
334  1.48735  2.2922  -0.598383  -0.368583  1.9073
335  1.48728  2.29216  -0.5981  -0.368407  1.90712
336  1.48721  2.29212  -0.597816  -0.36823  1.90694
337  1.48714  2.29207  -0.597531  -0.368053  1.90675
338  1.48707  2.29203  -0.597246  -0.367876  1.90657
339  1.487  2.29198  -0.59696  -0.367698  1.90639
340  1.48692  2.29194  -0.596673  -0.36752  1.9062
341  1.48685  2.2919  -0.596386  -0.367341  1.90602
342  1.48678  2.29185  -0.596098  -0.367162  1.90584
343  1.48671  2.29181  -0.595809  -0.366982  1.90565
344  1.48664  2.29176  -0.59552  -0.366802  1.90547
345  1.48656  2.29172  -0.595229  -0.366622  1.90528
346  1.48649  2.29167  -0.594939  -0.366441  1.90509
347  1.48642  2.29163  -0.594647  -0.36626  1.90491
348  1.48635  2.29158  -0.594355  -0.366078  1.90472
349  1.48627  2.29154  -0.594062  -0.365896  1.90453
350  1.4862  2.29149  -0.593769  -0.365714  1.90435
351  1.48613  2.29145  -0.593475  -0.365531  1.90416
352  1.48605  2.2914  -0.59318  -0.365348  1.90397
353  1.48598  2.29136  -0.592885  -0.365164  1.90378
354  1.48591  2.29131  -0.592589  -0.36498  1.90359
355  1.48583  2.29127  -0.592292  -0.364796  1.9034
356  1.48576  2.29122  -0.591994  -0.364611  1.90321
357  1.48568  2.29118  -0.591696  -0.364425  1.90302
358  1.48561  2.29113  -0.591398  -0.36424  1.90283
359  1.48553  2.29108  -0.591098  -0.364054  1.90264
360  1.48546  2.29104  -0.590798  -0.363867  1.90245
361  1.48539  2.29099  -0.590498  -0.36368  1.90226
362  1.48531  2.29095  -0.590196  -0.363493  1.90207
363  1.48524  2.2909  -0.589894  -0.363305  1.90188
364  1.48516  2.29085  -0.589592  -0.363117  1.90168
365  1.48509  2.29081  -0.589288  -0.362929  1.90149
366  1.48501  2.29076  -0.588984  -0.36274  1.9013
367  1.48493  2.29071  -0.58868  -0.36255  1.9011
368  1.48486  2.29067  -0.588375  -0.362361  1.90091
369  1.48478  2.29062  -0.588069  -0.362171  1.90072
370  1.48471  2.29057  -0.587762  -0.36198  1.90052
371  1.48463  2.29053  -0.587455  -0.361789  1.90033
372  1.48455  2.29048  -0.587148  -0.361598  1.90013
373  1.48448  2.29043  -0.586839  -0.361406  1.89993
374  1.4844  2.29039  -0.58653  -0.361214  1.89974
