# n      x1       x2       g1      g2

4970000  0.79959  0.638442  0.112331  0.180199
4980000  0.800007  0.639113  0.112013  0.179781
4990000  0.800424  0.639782  0.111695  0.179365
5000000  0.80084  0.640449  0.11138  0.17895
5010000  0.801254  0.641115  0.111065  0.178537
5020000  0.801667  0.64178  0.110752  0.178125
5030000  0.802079  0.642442  0.11044  0.177714
5040000  0.80249  0.643104  0.110129  0.177304
5050000  0.8029  0.643763  0.10982  0.176896
5060000  0.803308  0.644422  0.109512  0.176489
5070000  0.803716  0.645078  0.109205  0.176084
5080000  0.804122  0.645734  0.1089  0.175679
5090000  0.804527  0.646387  0.108596  0.175276
5100000  0.804931  0.647039  0.108293  0.174874
5110000  0.805334  0.64769  0.107991  0.174474
5120000  0.805736  0.648339  0.10769  0.174075
5130000  0.806136  0.648987  0.107391  0.173677
5140000  0.806536  0.649633  0.107093  0.17328
5150000  0.806934  0.650278  0.106796  0.172885
5160000  0.807331  0.650921  0.1065  0.17249
5170000  0.807728  0.651563  0.106206  0.172098
5180000  0.808123  0.652204  0.105913  0.171706
5190000  0.808517  0.652843  0.105621  0.171315
5200000  0.80891  0.65348  0.10533  0.170926
5210000  0.809301  0.654116  0.10504  0.170538
5220000  0.809692  0.654751  0.104751  0.170151
5230000  0.810082  0.655384  0.104464  0.169766
5240000  0.810471  0.656016  0.104178  0.169381
5250000  0.810858  0.656646  0.103893  0.168998
5260000  0.811245  0.657275  0.103609  0.168616
5270000  0.81163  0.657902  0.103326  0.168235
5280000  0.812014  0.658528  0.103044  0.167856
5290000  0.812398  0.659153  0.102764  0.167477
5300000  0.81278  0.659776  0.102484  0.1671
5310000  0.813161  0.660398  0.102206  0.166724
5320000  0.813542  0.661018  0.101928  0.166349
5330000  0.813921  0.661637  0.101652  0.165975
5340000  0.814299  0.662255  0.101377  0.165602
5350000  0.814676  0.662871  0.101103  0.165231
5360000  0.815052  0.663486  0.10083  0.16486
5370000  0.815427  0.664099  0.100558  0.164491
5380000  0.815801  0.664711  0.100288  0.164123
5390000  0.816175  0.665322  0.100018  0.163756
5400000  0.816547  0.665931  0.0997491  0.16339
5410000  0.816918  0.666539  0.0994815  0.163025
5420000  0.817288  0.667146  0.0992149  0.162662
5430000  0.817657  0.667751  0.0989493  0.162299
5440000  0.818025  0.668355  0.0986847  0.161938
5450000  0.818392  0.668958  0.0984212  0.161577
5460000  0.818758  0.669559  0.0981587  0.161218
5470000  0.819124  0.670159  0.0978972  0.16086
5480000  0.819488  0.670758  0.0976367  0.160503
5490000  0.819851  0.671355  0.0973772  0.160147
5500000  0.820213  0.671951  0.0971187  0.159792
5510000  0.820575  0.672545  0.0968612  0.159438
5520000  0.820935  0.673139  0.0966047  0.159085
5530000  0.821294  0.673731  0.0963492  0.158733
5540000  0.821653  0.674321  0.0960946  0.158383
5550000  0.82201  0.674911  0.095841  0.158033
5560000  0.822367  0.675499  0.0955883  0.157685
5570000  0.822722  0.676086  0.0953366  0.157337
5580000  0.823077  0.676671  0.0950859  0.15699
5590000  0.823431  0.677255  0.0948361  0.156645
5600000  0.823784  0.677838  0.0945873  0.156301
5610000  0.824136  0.67842  0.0943394  0.155957
5620000  0.824487  0.679  0.0940924  0.155615
5630000  0.824837  0.679579  0.0938464  0.155273
5640000  0.825186  0.680157  0.0936012  0.154933
5650000  0.825534  0.680734  0.093357  0.154594
5660000  0.825881  0.681309  0.0931137  0.154255
5670000  0.826228  0.681883  0.0928713  0.153918
