# n      x1       x2       g1      g2

313  -0.0671346  -0.189541  7.34522  38.8096
314  -0.0665643  -0.188074  7.25873  38.5009
315  -0.0660005  -0.186616  7.17373  38.1945
316  -0.0654431  -0.185168  7.09021  37.8902
317  -0.064892  -0.183729  7.00813  37.588
318  -0.0643472  -0.182299  6.92747  37.2879
319  -0.0638087  -0.180878  6.8482  36.99
320  -0.0632763  -0.179467  6.77031  36.6941
321  -0.0627499  -0.178064  6.69376  36.4004
322  -0.0622296  -0.176671  6.61854  36.1087
323  -0.0617152  -0.175287  6.54462  35.8191
324  -0.0612067  -0.173911  6.47197  35.5315
325  -0.060704  -0.172545  6.40059  35.2461
326  -0.0602071  -0.171188  6.33043  34.9626
327  -0.0597159  -0.16984  6.26149  34.6812
328  -0.0592303  -0.168501  6.19374  34.4018
329  -0.0587502  -0.16717  6.12715  34.1244
330  -0.0582757  -0.165849  6.06172  33.849
331  -0.0578066  -0.164536  5.99742  33.5756
332  -0.057343  -0.163232  5.93422  33.3041
333  -0.0568846  -0.161937  5.87212  33.0346
334  -0.0564315  -0.160651  5.81108  32.7671
335  -0.0559836  -0.159373  5.7511  32.5015
336  -0.0555409  -0.158105  5.69214  32.2379
337  -0.0551032  -0.156844  5.63421  31.9761
338  -0.0546706  -0.155593  5.57727  31.7163
339  -0.054243  -0.15435  5.5213  31.4584
340  -0.0538203  -0.153115  5.4663  31.2024
341  -0.0534024  -0.151889  5.41225  30.9482
342  -0.0529893  -0.150672  5.35912  30.696
343  -0.052581  -0.149463  5.3069  30.4455
344  -0.0521774  -0.148262  5.25558  30.197
345  -0.0517785  -0.14707  5.20513  29.9502
346  -0.0513841  -0.145886  5.15555  29.7053
347  -0.0509942  -0.144711  5.10682  29.4622
348  -0.0506089  -0.143544  5.05892  29.221
349  -0.0502279  -0.142385  5.01184  28.9815
350  -0.0498514  -0.141234  4.96556  28.7438
351  -0.0494791  -0.140091  4.92007  28.5078
352  -0.0491112  -0.138956  4.87535  28.2737
353  -0.0487474  -0.13783  4.83139  28.0413
354  -0.0483879  -0.136712  4.78819  27.8106
355  -0.0480324  -0.135601  4.74571  27.5817
356  -0.047681  -0.134499  4.70396  27.3544
357  -0.0473337  -0.133404  4.66291  27.1289
358  -0.0469903  -0.132318  4.62256  26.9052
359  -0.0466509  -0.131239  4.5829  26.683
360  -0.0463153  -0.130168  4.5439  26.4626
361  -0.0459836  -0.129105  4.50556  26.2439
362  -0.0456556  -0.128049  4.46787  26.0268
363  -0.0453314  -0.127002  4.43081  25.8113
364  -0.0450109  -0.125962  4.39438  25.5975
365  -0.0446941  -0.124929  4.35855  25.3854
366  -0.0443808  -0.123904  4.32333  25.1748
367  -0.0440711  -0.122887  4.28871  24.9659
368  -0.0437649  -0.121877  4.25466  24.7585
369  -0.0434622  -0.120875  4.22118  24.5528
370  -0.0431629  -0.11988  4.18826  24.3486
371  -0.0428671  -0.118892  4.15589  24.146
372  -0.0425745  -0.117912  4.12405  23.9449
373  -0.0422853  -0.116939  4.09275  23.7454
374  -0.0419993  -0.115974  4.06197  23.5475
375  -0.0417165  -0.115015  4.0317  23.3511
376  -0.041437  -0.114064  4.00193  23.1562
377  -0.0411605  -0.11312  3.97266  22.9628
378  -0.0408872  -0.112183  3.94387  22.7709
379  -0.0406169  -0.111253  3.91555  22.5805
380  -0.0403497  -0.11033  3.8877  22.3915
381  -0.0400854  -0.109414  3.86031  22.2041
382  -0.0398241  -0.108505  3.83337  22.0181
383  -0.0395657  -0.107602  3.80687  21.8336
384  -0.0393102  -0.106707  3.7808  21.6505
385  -0.0390575  -0.105818  3.75517  21.4688
386  -0.0388076  -0.104937  3.72995  21.2885
387  -0.0385605  -0.104062  3.70514  21.1097
388  -0.0383161  -0.103193  3.68073  20.9323
389  -0.0380744  -0.102332  3.65673  20.7562
390  -0.0378353  -0.101476  3.63311  20.5816
391  -0.0375989  -0.100628  3.60987  20.4083
392  -0.0373651  -0.0997859  3.58702  20.2364
393  -0.0371338  -0.0989504  3.56453  20.0659
394  -0.0369051  -0.0981213  3.5424  19.8966
395  -0.0366788  -0.0972985  3.52063  19.7288
396  -0.036455  -0.0964822  3.49921  19.5622
397  -0.0362336  -0.0956722  3.47813  19.397
398  -0.0360147  -0.0948684  3.45739  19.2331
399  -0.035798  -0.0940709  3.43698  19.0705
400  -0.0355838  -0.0932796  3.4169  18.9092
401  -0.0353718  -0.0924945  3.39714  18.7491
402  -0.0351621  -0.0917154  3.37769  18.5904
403  -0.0349546  -0.0909425  3.35855  18.4329
404  -0.0347493  -0.0901756  3.33971  18.2766
405  -0.0345463  -0.0894146  3.32117  18.1216
406  -0.0343454  -0.0886597  3.30293  17.9679
407  -0.0341466  -0.0879106  3.28497  17.8153
408  -0.0339499  -0.0871674  3.2673  17.664
409  -0.0337553  -0.0864301  3.2499  17.5139
410  -0.0335627  -0.0856986  3.23277  17.365
411  -0.0333721  -0.0849728  3.21591  17.2173
412  -0.0331835  -0.0842528  3.19932  17.0708
413  -0.0329969  -0.0835384  3.18298  16.9254
414  -0.0328122  -0.0828297  3.1669  16.7813
415  -0.0326295  -0.0821266  3.15107  16.6382
416  -0.0324486  -0.081429  3.13548  16.4964
417  -0.0322695  -0.080737  3.12013  16.3557
418  -0.0320924  -0.0800505  3.10502  16.2161
419  -0.031917  -0.0793694  3.09014  16.0776
420  -0.0317434  -0.0786937  3.0755  15.9403
421  -0.0315715  -0.0780234  3.06107  15.804
422  -0.0314014  -0.0773584  3.04687  15.6689
423  -0.031233  -0.0766988  3.03288  15.5349
424  -0.0310663  -0.0760444  3.01911  15.4019
425  -0.0309013  -0.0753952  3.00554  15.27
426  -0.0307379  -0.0747512  2.99218  15.1392
427  -0.0305762  -0.0741124  2.97903  15.0095
428  -0.030416  -0.0734786  2.96607  14.8808
429  -0.0302574  -0.07285  2.95331  14.7531
430  -0.0301004  -0.0722264  2.94074  14.6265
431  -0.0299449  -0.0716078  2.92836  14.5009
432  -0.0297909  -0.0709941  2.91616  14.3763
433  -0.0296385  -0.0703854  2.90415  14.2528
